subject,session1,session2,label,volume1,volume2,abs_volume_diff,dice,surface_dice,hd95,label_name,volume_diff,percentage_vol_diff
sub-01,sub-01_ses-siteCOI,sub-01_ses-siteHKH,2006,1123.0,1094.0,29.0,0.7307171853856563,0.9372580711088682,1.4142135623730951,Entorhinal Cortex R,29.0,0.026508226691042046
sub-01,sub-01_ses-siteCOI,sub-01_ses-siteHKH,2007,9871.0,9557.0,314.0,0.7352275066913733,0.9533050880560582,1.4142135623730951,Fusiform Gyrus R,314.0,0.03285549858742283
sub-01,sub-01_ses-siteCOI,sub-01_ses-siteHKH,2008,16225.0,14710.0,1515.0,0.6383707774365606,0.8988709015553973,2.0,Inferior Parietal R,1515.0,0.10299116247450714
sub-01,sub-01_ses-siteCOI,sub-01_ses-siteHKH,2012,9394.0,9632.0,238.0,0.7765163460527699,0.9768945184109248,1.0,Lateral Orbitofrontal R,-238.0,-0.024709302325581394
sub-01,sub-01_ses-siteCOI,sub-01_ses-siteHKH,2014,5069.0,4930.0,139.0,0.7540754075407541,0.9784409640026996,1.0,Medial Orbitofrontal R,139.0,0.0281947261663286
sub-01,sub-01_ses-siteCOI,sub-01_ses-siteHKH,2028,33935.0,33102.0,833.0,0.7923982278443248,0.9815623856389164,1.0,Superior Frontal R,833.0,0.025164642619781283
sub-01,sub-01_ses-siteCOI,sub-01_ses-siteHKH,2030,18541.0,17467.0,1074.0,0.7485558764718951,0.9484709922005304,1.4142135623730951,Superior Temporal R,1074.0,0.06148737619511078
sub-01,sub-01_ses-siteCOI,sub-01_ses-siteHKH,2035,6796.0,6589.0,207.0,0.8037355248412402,0.978541505113692,1.0,Insula R,207.0,0.03141599635756564
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,1002,4390.0,3499.0,891.0,0.7045252883762201,0.8446126775675649,7.810249675906654,Caudal Anterior Cingulate L,891.0,0.25464418405258643
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,1006,1431.0,1601.0,170.0,0.7341688654353562,0.9203975339192152,2.0,Entorhinal Cortex L,-170.0,-0.1061836352279825
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,1007,8652.0,8147.0,505.0,0.7483778796356926,0.9516032903345236,1.4142135623730951,Fusiform Gyrus L,505.0,0.06198600711918498
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,1008,14948.0,16746.0,1798.0,0.8000883447971224,0.9613962551618628,1.7320508075688772,Inferior Parietal L,-1798.0,-0.10736892392213065
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,1012,9789.0,9609.0,180.0,0.7577069801010413,0.9541842746294852,1.4142135623730951,Lateral Orbitofrontal L,180.0,0.018732438339057134
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,1014,4872.0,5020.0,148.0,0.7321067529316619,0.9444796451753572,1.4142135623730951,Medial Orbitofrontal L,-148.0,-0.02948207171314741
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,1028,27873.0,25159.0,2714.0,0.7253733594810681,0.88591290706893,8.660254037844387,Superior Frontal L,2714.0,0.10787392185698955
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,1030,17703.0,18933.0,1230.0,0.7357244240637624,0.9246530867637676,1.4142135623730951,Superior Temporal L,-1230.0,-0.0649659324988116
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,1035,6347.0,6314.0,33.0,0.7339072743069268,0.9126507330281204,1.4142135623730951,Insula L,33.0,0.005226480836236934
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,2002,2630.0,2709.0,79.0,0.7724292938752575,0.973627979631156,1.0,Caudal Anterior Cingulate R,-79.0,-0.02916205241786637
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,2006,1094.0,984.0,110.0,0.7228103946102021,0.9478264370803589,1.7320508075688772,Entorhinal Cortex R,110.0,0.11178861788617886
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,2007,9557.0,9024.0,533.0,0.7832732361013939,0.9744112157242945,1.0,Fusiform Gyrus R,533.0,0.05906471631205674
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,2008,14710.0,15367.0,657.0,0.7796655251521096,0.9728751322263212,1.0,Inferior Parietal R,-657.0,-0.0427539532765016
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,2012,9632.0,9551.0,81.0,0.7797529062190481,0.9571977560555316,1.4142135623730951,Lateral Orbitofrontal R,81.0,0.008480787352109727
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,2014,4930.0,5258.0,328.0,0.7283078131134668,0.9221795031334056,2.0,Medial Orbitofrontal R,-328.0,-0.062381133510840625
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,2028,33102.0,34679.0,1577.0,0.8186364910520647,0.9774878075689104,1.0,Superior Frontal R,-1577.0,-0.045474206291992274
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,2030,17467.0,18037.0,570.0,0.7298895899053628,0.9349859786922576,1.4142135623730951,Superior Temporal R,-570.0,-0.0316017076010423
sub-01,sub-01_ses-siteHKH,sub-01_ses-siteHUH,2035,6589.0,6267.0,322.0,0.7815805849408837,0.9504410933428766,1.0,Insula R,322.0,0.05138024573161002
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,1002,3499.0,4147.0,648.0,0.6735547998953701,0.8323635108621904,7.615773105863909,Caudal Anterior Cingulate L,-648.0,-0.15625753556788038
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,1006,1601.0,1401.0,200.0,0.7355096602265156,0.9198780015766576,2.0,Entorhinal Cortex L,200.0,0.14275517487508924
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,1007,8147.0,8482.0,335.0,0.7277647483312286,0.949369679095747,1.4142135623730951,Fusiform Gyrus L,-335.0,-0.039495402027823624
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,1008,16746.0,13480.0,3266.0,0.707139548732879,0.9371257672856296,2.23606797749979,Inferior Parietal L,3266.0,0.24228486646884273
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,1012,9609.0,9891.0,282.0,0.7726153846153846,0.955382737986332,1.4142135623730951,Lateral Orbitofrontal L,-282.0,-0.02851076736427055
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,1014,5020.0,5089.0,69.0,0.7191611435354635,0.9392729309444652,1.4142135623730951,Medial Orbitofrontal L,-69.0,-0.013558655924543132
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,1028,25159.0,27232.0,2073.0,0.73012540321811,0.8774997825204708,9.055385138137416,Superior Frontal L,-2073.0,-0.07612367802585195
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,1030,18933.0,17345.0,1588.0,0.7286509730415127,0.9148230589287326,1.7320508075688772,Superior Temporal L,1588.0,0.09155376189103488
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,1035,6314.0,6446.0,132.0,0.7891849529780565,0.9524118859587116,1.4142135623730951,Insula L,-132.0,-0.020477815699658702
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,2002,2709.0,2497.0,212.0,0.768344218209758,0.9626537184900752,1.4142135623730951,Caudal Anterior Cingulate R,212.0,0.08490188225871045
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,2006,984.0,1144.0,160.0,0.7114661654135338,0.9302702138067904,2.0,Entorhinal Cortex R,-160.0,-0.13986013986013987
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,2007,9024.0,9779.0,755.0,0.7774291336488858,0.9657103981239128,1.0,Fusiform Gyrus R,-755.0,-0.07720625830862052
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,2008,15367.0,12916.0,2451.0,0.7736803026553053,0.9743732956420668,1.0,Inferior Parietal R,2451.0,0.1897646330133168
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,2012,9551.0,9697.0,146.0,0.7721321695760599,0.9585432271167398,1.4142135623730951,Lateral Orbitofrontal R,-146.0,-0.015056202949365783
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,2014,5258.0,4821.0,437.0,0.7201111221351325,0.9395334971095894,1.4142135623730951,Medial Orbitofrontal R,437.0,0.09064509437875959
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,2028,34679.0,32449.0,2230.0,0.8285067334048385,0.9853105283763616,1.0,Superior Frontal R,2230.0,0.0687232272180961
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,2030,18037.0,17468.0,569.0,0.7379805661174482,0.9337006332458092,1.4142135623730951,Superior Temporal R,569.0,0.03257384932447905
sub-01,sub-01_ses-siteHUH,sub-01_ses-siteKPM,2035,6267.0,6339.0,72.0,0.8138981437410757,0.9686835741905232,1.0,Insula R,-72.0,-0.011358258400378608
